order_id,product_id,quantity,unit_price
1,5,3,280.9
1,12,3,142.92
1,92,2,161.07
2,51,2,60.94
2,18,2,404.13
2,72,3,482.47
2,34,3,251.75
2,4,3,430.17
3,43,2,179.75
3,26,3,281.01
3,78,1,370.32
3,7,3,372.93
3,70,3,288.23
4,97,2,414.93
4,64,3,487.53
4,52,3,269.61
5,7,2,372.93
6,20,2,477.5
6,40,2,13.13
6,39,3,130.11
6,52,2,269.61
6,56,3,498.51
7,29,3,286.27
7,56,2,498.51
7,88,1,209.19
7,1,3,197.66
7,73,2,126.02
8,21,1,43.77
8,88,3,209.19
8,96,2,346.17
8,46,2,475.99
8,94,3,68.76
9,43,2,179.75
9,82,1,109.33
10,62,1,353.41
10,24,1,423.97
10,49,1,426.01
10,73,2,126.02
10,97,2,414.93
11,63,3,192.52
11,32,2,237.32
12,70,2,288.23
12,92,1,161.07
12,78,3,370.32
12,22,3,237.9
13,60,3,449.67
13,23,3,148.33
13,25,1,170.38
14,82,2,109.33
14,33,2,299.93
14,56,1,498.51
15,46,1,475.99
16,77,2,353.36
16,94,1,68.76
16,96,3,346.17
17,49,3,426.01
18,22,3,237.9
18,65,3,51.6
18,71,3,223.14
18,50,3,366.34
19,61,3,264.68
19,79,2,165.85
19,22,1,237.9
19,35,1,388.58
19,33,3,299.93
20,47,3,10.72
20,11,2,362.94
20,67,2,75.42
20,55,1,39.35
20,80,1,143.26
21,35,3,388.58
21,7,1,372.93
21,72,3,482.47
22,13,1,48.16
22,70,3,288.23
23,16,2,451.95
24,95,3,87.23
24,25,1,170.38
24,35,1,388.58
24,61,3,264.68
24,54,1,251.09
25,64,3,487.53
25,78,3,370.32
25,32,1,237.32
25,81,1,46.6
26,21,1,43.77
26,4,2,430.17
27,13,2,48.16
27,65,1,51.6
28,1,3,197.66
29,31,1,315.13
29,75,2,164.35
30,28,1,108.33
30,10,1,213.97
31,82,3,109.33
31,98,1,351.47
31,88,2,209.19
31,28,1,108.33
32,71,1,223.14
32,23,1,148.33
32,11,1,362.94
32,22,1,237.9
32,63,3,192.52
33,55,1,39.35
33,62,3,353.41
33,24,2,423.97
33,5,3,280.9
33,15,1,256.0
34,13,2,48.16
34,85,2,86.15
35,52,3,269.61
35,74,1,137.89
35,90,1,482.67
36,89,1,272.6
37,82,2,109.33
37,97,2,414.93
37,96,1,346.17
37,11,1,362.94
37,60,2,449.67
38,68,1,411.78
38,31,3,315.13
38,33,2,299.93
39,48,1,332.08
40,37,2,451.22
40,93,2,139.85
40,64,3,487.53
41,15,2,256.0
42,92,3,161.07
43,58,3,55.58
43,2,1,83.54
43,18,1,404.13
43,62,2,353.41
43,19,1,490.89
44,80,1,143.26
45,2,3,83.54
45,70,3,288.23
45,94,3,68.76
45,26,3,281.01
45,37,1,451.22
46,27,1,13.9
46,22,2,237.9
47,4,2,430.17
48,91,1,111.74
48,28,3,108.33
48,23,1,148.33
48,34,1,251.75
48,90,3,482.67
49,24,2,423.97
49,92,1,161.07
49,58,2,55.58
50,84,1,296.51
50,6,1,457.83
51,15,2,256.0
51,13,2,48.16
52,45,3,439.83
52,93,1,139.85
52,38,1,382.64
52,22,2,237.9
52,68,2,411.78
53,13,3,48.16
54,52,2,269.61
55,15,2,256.0
55,56,3,498.51
55,60,1,449.67
55,95,3,87.23
55,69,1,46.67
56,41,2,210.92
56,13,1,48.16
57,51,2,60.94
57,33,1,299.93
57,97,1,414.93
57,22,1,237.9
57,56,1,498.51
58,79,3,165.85
59,11,2,362.94
59,62,1,353.41
59,88,3,209.19
60,37,3,451.22
61,47,1,10.72
62,78,3,370.32
63,100,3,419.6
63,10,2,213.97
63,8,1,215.49
64,42,2,124.17
64,41,3,210.92
64,1,2,197.66
64,68,1,411.78
65,38,1,382.64
65,53,2,126.7
65,63,3,192.52
65,58,2,55.58
65,8,2,215.49
66,79,1,165.85
66,63,3,192.52
66,7,3,372.93
66,94,3,68.76
67,4,2,430.17
67,84,2,296.51
68,85,2,86.15
68,38,3,382.64
68,6,1,457.83
69,42,1,124.17
69,92,2,161.07
69,1,1,197.66
70,22,2,237.9
70,59,1,461.42
70,83,3,392.17
70,77,1,353.36
71,24,3,423.97
71,73,1,126.02
71,4,1,430.17
71,16,1,451.95
71,89,2,272.6
72,12,1,142.92
73,25,2,170.38
74,55,1,39.35
75,69,3,46.67
75,4,1,430.17
75,10,2,213.97
75,80,1,143.26
76,39,2,130.11
76,6,2,457.83
77,9,3,167.68
78,82,1,109.33
78,92,3,161.07
78,35,1,388.58
78,61,2,264.68
79,86,2,90.54
80,70,3,288.23
80,46,2,475.99
80,57,3,358.71
81,52,1,269.61
81,25,2,170.38
81,81,1,46.6
81,85,2,86.15
81,12,3,142.92
82,4,3,430.17
82,40,1,13.13
82,82,1,109.33
82,39,3,130.11
82,70,3,288.23
83,16,2,451.95
83,74,2,137.89
83,8,3,215.49
83,13,2,48.16
83,97,2,414.93
84,60,3,449.67
84,57,2,358.71
84,54,1,251.09
84,10,2,213.97
85,52,1,269.61
85,95,3,87.23
85,4,1,430.17
85,13,1,48.16
85,62,2,353.41
86,40,2,13.13
86,43,1,179.75
86,10,1,213.97
86,62,1,353.41
87,72,2,482.47
87,1,3,197.66
88,30,3,158.92
88,40,1,13.13
88,58,2,55.58
89,85,3,86.15
89,18,1,404.13
89,42,1,124.17
89,25,3,170.38
90,82,3,109.33
90,76,1,402.4
90,83,3,392.17
91,68,2,411.78
91,73,1,126.02
91,72,2,482.47
92,64,3,487.53
92,23,1,148.33
92,59,1,461.42
92,22,3,237.9
92,80,3,143.26
93,90,3,482.67
93,61,1,264.68
93,88,1,209.19
94,4,3,430.17
94,79,3,165.85
94,32,2,237.32
95,26,2,281.01
95,92,2,161.07
95,78,2,370.32
95,68,3,411.78
96,35,2,388.58
96,18,1,404.13
96,87,3,238.37
97,30,3,158.92
97,41,2,210.92
97,93,1,139.85
97,98,3,351.47
97,51,1,60.94
98,10,2,213.97
98,71,2,223.14
98,94,1,68.76
98,54,1,251.09
98,85,2,86.15
99,43,1,179.75
99,29,2,286.27
100,50,3,366.34
101,8,2,215.49
101,14,2,192.68
102,32,1,237.32
102,35,1,388.58
103,89,2,272.6
103,18,2,404.13
103,12,3,142.92
104,33,2,299.93
104,89,1,272.6
105,28,3,108.33
105,52,2,269.61
105,22,1,237.9
105,68,1,411.78
106,47,1,10.72
106,59,2,461.42
107,35,1,388.58
107,47,3,10.72
107,92,3,161.07
108,27,1,13.9
108,35,1,388.58
108,38,1,382.64
109,60,2,449.67
110,74,3,137.89
110,34,2,251.75
110,38,2,382.64
111,22,3,237.9
111,98,3,351.47
111,11,3,362.94
112,23,2,148.33
112,81,2,46.6
112,99,1,29.76
113,15,1,256.0
113,47,1,10.72
113,10,2,213.97
113,21,2,43.77
113,80,2,143.26
114,23,1,148.33
114,33,3,299.93
114,85,3,86.15
114,50,3,366.34
114,37,2,451.22
115,33,3,299.93
115,57,1,358.71
116,28,3,108.33
116,84,3,296.51
116,80,2,143.26
117,98,1,351.47
117,83,2,392.17
117,73,1,126.02
118,8,2,215.49
119,16,3,451.95
119,34,1,251.75
119,48,3,332.08
120,36,3,105.76
120,62,1,353.41
121,7,2,372.93
121,44,3,421.39
122,34,3,251.75
122,42,1,124.17
123,4,3,430.17
124,12,1,142.92
124,18,3,404.13
124,33,2,299.93
124,52,3,269.61
124,39,3,130.11
125,22,1,237.9
125,40,3,13.13
125,27,1,13.9
125,96,2,346.17
126,2,3,83.54
126,55,3,39.35
126,54,2,251.09
126,95,1,87.23
127,49,3,426.01
128,32,3,237.32
128,96,1,346.17
128,58,1,55.58
128,40,1,13.13
129,63,2,192.52
129,77,2,353.36
129,90,1,482.67
129,81,2,46.6
129,5,1,280.9
130,57,3,358.71
130,11,1,362.94
130,45,1,439.83
131,22,2,237.9
132,18,3,404.13
133,11,1,362.94
133,54,1,251.09
134,98,2,351.47
134,7,1,372.93
134,24,3,423.97
135,70,1,288.23
135,54,1,251.09
135,66,1,56.83
135,30,1,158.92
135,82,3,109.33
136,11,3,362.94
136,34,3,251.75
136,96,2,346.17
136,90,1,482.67
137,5,2,280.9
137,60,2,449.67
137,80,3,143.26
138,82,1,109.33
138,97,1,414.93
138,58,1,55.58
138,65,3,51.6
138,34,1,251.75
139,11,1,362.94
139,36,2,105.76
139,35,2,388.58
140,83,2,392.17
141,63,1,192.52
141,22,3,237.9
142,55,2,39.35
142,9,1,167.68
142,92,3,161.07
142,46,3,475.99
142,75,2,164.35
143,91,3,111.74
143,77,2,353.36
143,35,3,388.58
143,59,2,461.42
143,42,1,124.17
144,90,1,482.67
144,98,3,351.47
144,78,1,370.32
144,65,1,51.6
145,41,3,210.92
145,64,2,487.53
145,62,3,353.41
146,83,2,392.17
146,69,1,46.67
146,27,2,13.9
146,50,2,366.34
146,57,3,358.71
147,6,2,457.83
148,28,3,108.33
148,78,1,370.32
148,35,2,388.58
148,94,1,68.76
148,87,2,238.37
149,73,1,126.02
149,8,2,215.49
150,95,2,87.23
150,4,3,430.17
150,18,3,404.13
150,68,2,411.78
151,81,3,46.6
151,50,2,366.34
151,55,1,39.35
151,92,2,161.07
151,2,2,83.54
152,51,1,60.94
152,3,1,466.27
152,63,1,192.52
152,42,1,124.17
153,65,2,51.6
154,50,3,366.34
154,22,1,237.9
155,40,3,13.13
155,84,1,296.51
155,37,1,451.22
155,14,2,192.68
156,75,3,164.35
156,38,2,382.64
156,8,3,215.49
157,42,2,124.17
157,52,1,269.61
158,21,1,43.77
158,36,2,105.76
158,83,2,392.17
159,43,3,179.75
159,5,2,280.9
159,58,2,55.58
159,93,2,139.85
159,54,1,251.09
160,33,2,299.93
160,72,3,482.47
160,96,3,346.17
160,94,1,68.76
161,10,3,213.97
161,22,3,237.9
161,43,2,179.75
162,59,1,461.42
162,76,3,402.4
162,82,2,109.33
162,7,2,372.93
163,21,3,43.77
