order_id,customer_id,order_date,total_amount
1,336,2023-10-31,161.07
2,992,2024-12-29,985.18
3,876,2025-07-15,1304.46
4,851,2024-03-31,1370.85
5,646,2023-06-22,2219.54
6,927,2024-11-10,915.66
7,52,2023-12-11,2886.32
8,220,2024-01-19,1705.0
9,632,2024-05-18,1324.9
10,287,2025-02-23,1596.3
11,256,2023-02-09,3199.04
12,330,2025-03-06,1913.0
13,918,2024-07-29,794.04
14,367,2024-04-21,381.8
15,273,2025-12-28,351.47
16,590,2025-03-06,2449.25
17,368,2023-02-27,2065.47
18,180,2025-10-01,142.92
19,239,2024-03-24,823.56
20,1,2024-11-10,1687.35
21,722,2023-10-18,823.56
22,984,2023-05-29,543.25
23,310,2024-10-22,293.82
24,984,2025-09-24,1745.15
25,229,2023-12-26,1282.33
26,972,2025-03-12,3206.39
27,145,2024-11-09,630.26
28,328,2023-12-10,335.22
29,655,2024-11-18,1004.81
30,806,2023-08-10,745.86
31,449,2025-05-09,1228.46
32,560,2025-02-07,1060.23
33,667,2024-04-06,483.52
34,21,2024-10-14,1042.01
35,750,2023-06-03,2407.83
36,622,2025-06-08,794.02
37,998,2024-01-25,2451.36
38,305,2024-05-01,745.86
39,586,2025-10-02,394.37
40,90,2024-08-26,1750.73
41,865,2023-08-25,904.7
42,658,2025-03-04,1090.17
43,457,2023-04-02,2013.3
44,64,2023-11-06,1088.82
45,353,2025-04-27,2592.67
46,903,2024-04-27,1884.96
47,820,2023-10-29,829.86
48,178,2023-12-09,366.14
49,81,2025-06-10,1121.58
50,328,2023-05-18,1099.02
51,407,2024-10-29,1861.14
52,536,2025-05-09,251.09
53,152,2023-07-25,126.02
54,805,2024-08-08,3044.2
55,177,2024-07-18,2547.89
56,911,2024-11-09,1438.2
57,919,2025-02-01,842.78
58,319,2024-07-28,1363.37
59,793,2024-10-19,827.69
60,453,2024-03-08,1496.81
61,68,2024-09-29,1631.14
62,256,2023-03-09,1833.81
63,407,2023-09-11,630.26
64,501,2025-07-02,1598.84
65,353,2023-12-01,1250.78
66,51,2023-11-30,2994.52
67,21,2023-01-19,1846.79
68,825,2024-09-17,1370.55
69,478,2024-09-10,2112.32
70,609,2024-08-01,1301.37
71,656,2024-10-27,1509.34
72,154,2025-11-25,1491.06
73,328,2023-10-14,593.02
74,303,2024-06-15,2450.44
75,352,2024-03-31,2234.53
76,301,2023-07-19,1415.82
77,671,2023-07-02,2000.51
78,431,2024-11-09,1433.13
79,55,2023-05-26,1817.84
80,56,2023-11-05,1826.19
81,915,2025-07-26,371.99
82,500,2024-11-12,320.25
83,463,2024-07-14,1610.27
84,783,2023-11-21,2518.13
